"Logfile name","Network Type","Average Packet Inter-Arrival Time","Packet Inter-Arrival Greater than 0.5s","Device Radio State when Packet Inter-Arrival Time is Greater than 5s","DNS Query No.","DNS Query Name","DNS Query Response Time (s)","TCP Flow No.","TCP Flow Average Packet Inter-Arrival Time","TCP Flow Connection Setup Time (s)","TCP Flow # of Retransmissions from Device to Server","TCP Flow # of Retransmissions Bytes from Device to Server","TCP Flow # of Retransmissions from Server to Device","TCP Flow # of Retransmissions Bytes from Server to Device"
"20140125_20-17-39","LTE",0.112331,0.0434522,"CONNECTED",0,"data.flurry.com",7.77255,0,0.202765,5.72204,130,170008,1,955
,,,,"CONNECTED",1,"b-api.facebook.com",7.35265,1,2.03314,5.61992,2,1976,3,2842
,,,,"IDLE->CONNECTED",2,"data.flurry.com",4.20847,2,1.91245,4.82947,5,1128,5,253
,,,,"CONNECTED",3,"b-api.facebook.com",3.78459,3,0.200905,2.72014,130,170008,1,955
,,,,"CONNECTED",4,"api.facebook.com",5.23953,4,2.01472,2.61818,2,1976,3,2842
,,,,"CONNECTED",5,"api-read.facebook.com",8.28281,5,1.89651,1.92886,5,1128,5,253
,,,,"CONNECTED",6,"api-read.facebook.com",3.38232,6,0.897681,1.32729,0,0,0,0
,,,,"CONNECTED",7,"api.facebook.com",0.909537,7,4.85887,0.563222,2,2606,5,4402
,,,,"CONNECTED",8,"fbstatic-a.akamaihd.net",0.057714,8,4.54334,0.130077,0,0,0,0
,,,,"CONNECTED",9,"fbcdn-profile-a.akamaihd.net",0.0589051,9,6.13487,0.236411,0,0,2,772
,,,,,10,"fbcdn-sphotos-c-a.akamaihd.net",0.065222,10,6.42972,0.0584769,0,0,0,0
,,,,,11,"fbcdn-sphotos-e-a.akamaihd.net",0.703647,11,2.52716,0.084358,3,1272,5,4442
,,,,,12,"scontent-a-ord.xx.fbcdn.net",0.059423,12,0.942995,0.060216,2,620,0,0
,,,,,13,"api-read.facebook.com",1.25567,13,1.62853,0.091866,0,0,0,0
,,,,,14,"fbcdn-profile-a.akamaihd.net",0.183671,14,0.743558,0.06861,0,0,0,0
,,,,,15,"api.facebook.com",69.3358,15,0.797778,0.0680299,0,0,0,0
,,,,,16,"api.facebook.com",65.1835,16,4.89968,1.68033,2,2290,1,1014
,,,,,17,"api.facebook.com",62.8874,17,0.177975,4.11876,0,0,1,339
,,,,,,,,18,0.142199,1.11354,0,0,1,339
,,,,,,,,19,5.94992,0.48036,0,0,0,0
,,,,,,,,,,,,,,